시간,이벤트,차량ID,현재_주차대수,잔여_주차공간
2026-04-16 00:44:28,입차,3,1,49
2026-04-16 00:44:28,입차,2,2,48
2026-04-16 00:44:29,입차,4,3,47
2026-04-16 00:44:29,입차,10,4,46
2026-04-16 00:44:31,입차,7,5,45
2026-04-16 00:44:33,입차,9,6,44
2026-04-16 00:44:34,입차,23,7,43
2026-04-16 00:44:35,입차,28,8,42
2026-04-16 00:44:36,입차,30,9,41
2026-04-16 00:44:37,입차,29,10,40
2026-04-16 00:44:37,입차,24,11,39
2026-04-16 00:44:37,입차,38,12,38
2026-04-16 00:44:39,입차,32,13,37
2026-04-16 00:44:39,입차,49,14,36
2026-04-16 00:44:39,입차,46,15,35
2026-04-16 00:44:40,입차,51,16,34
2026-04-16 00:44:40,입차,50,17,33
2026-04-16 00:44:41,입차,44,18,32
2026-04-16 00:44:42,입차,54,19,31
2026-04-16 00:44:42,입차,55,20,30
2026-04-16 00:44:43,입차,65,21,29
