<<<<<<< HEAD
﻿report_id,category,latitude,longitude,timestamp,user_grade,user_weight,ai_confidence,status,extracted_text,final_trust_score,earned_points,earned_contribution
RPT-2026-000,불법 주차,34.96999835558781,127.4805597975757,2026-03-30 13:45:20.000000,Bronze,1.2,0.8839693314500632,확정,,0.0,100,10
RPT-2026-001,시설물 파손,34.96861922614842,127.48095890605389,2026-03-30 14:13:43.000000,Iron,1.0,0.0,신규,,1.0,0,0
RPT-2026-002,위험 운전,34.96834956563494,127.48256916978146,2026-03-30 14:23:00.000000,Iron,1.0,0.0,신규,,1.0,0,0
RPT-2026-003,시설물 파손,34.96908918684503,127.48231801138655,2026-03-30 14:00:42.000000,Gold,2.0,0.0,신규,,2.0,0,0
RPT-2026-004,위험 운전,34.96582415443754,127.47828964371814,2026-03-30 14:04:46.000000,Gold,2.0,0.0,신규,,2.0,0,0
RPT-2026-005,재난,34.96889023289254,127.47569048661218,2026-03-30 14:05:12.000000,Gold,2.0,0.0,신규,,2.0,0,0
RPT-2026-006,교내 위험물,34.96810843712367,127.47731510756697,2026-03-30 14:16:01.000000,Gold,2.0,0.0,신규,,2.0,0,0
RPT-2026-007,불법 주차,34.968131665795134,127.4751781142184,2026-03-30 14:29:10.000000,Platinum,3.0,0.8502473518720359,확정,,0.0,100,10
RPT-2026-008,교내 위험물,34.96993543878196,127.4752494404602,2026-03-30 14:13:56.000000,Iron,1.0,0.0,신규,,1.0,0,0
RPT-2026-009,공사 구역,34.96545688920806,127.475660918285,2026-03-30 13:43:20.000000,Iron,1.0,0.0,신규,,1.0,0,0
RPT-2026-010,교내 위험물,34.96902002659969,127.483810069096,2026-03-30 14:02:31.000000,Iron,1.0,0.0,신규,,1.0,0,0
RPT-2026-011,재난,34.96584382253844,127.48052259053452,2026-03-30 13:47:28.000000,Iron,1.0,0.0,신규,,1.0,0,0
RPT-2026-012,공사 구역,34.96600859855728,127.47722927752412,2026-03-30 14:07:08.000000,Iron,1.0,0.0,신규,,1.0,0,0
RPT-2026-013,공사 구역,34.9661854706075,127.4849869070114,2026-03-30 14:05:14.000000,Silver,1.5,0.0,신규,,1.5,0,0
RPT-2026-014,위험 운전,34.96645562990276,127.48020967812208,2026-03-30 14:05:20.000000,Silver,1.5,0.0,신규,,1.5,0,0
RPT-2026-015,재난,34.9682484558448,127.48032220428767,2026-03-30 13:52:59.000000,Platinum,3.0,0.0,확정,,3.0,100,10
RPT-2026-016,공사 구역,34.96942906235707,127.48468535469746,2026-03-30 14:31:54.000000,Silver,1.5,0.0,신규,,1.5,0,0
RPT-2026-017,공사 구역,34.96649661364986,127.48087559414586,2026-03-30 13:42:14.000000,Iron,1.0,0.0,확정,,4.0,100,10
RPT-2026-018,시설물 파손,34.969292744849135,127.47634254614977,2026-03-30 13:48:57.000000,Bronze,1.2,0.0,신규,,1.2,0,0
RPT-2026-019,재난,34.96798639543281,127.47581784739,2026-03-30 13:47:45.000000,Bronze,1.2,0.0,신규,,1.2,0,0
RPT-2026-020,재난,34.96570883250726,127.48456731856712,2026-03-30 14:00:08.000000,Platinum,3.0,0.0,확정,,3.0,100,10
RPT-2026-021,교내 위험물,34.96531757228544,127.47866975887403,2026-03-30 14:36:22.000000,Silver,1.5,0.0,신규,,1.5,0,0
RPT-2026-022,불법 주차,34.96962523807254,127.4782906708496,2026-03-30 14:30:40.000000,Bronze,1.2,0.8070771155443535,확정,,0.0,100,10
RPT-2026-023,교내 위험물,34.96585806405675,127.47582136791976,2026-03-30 13:56:40.000000,Platinum,3.0,0.0,확정,,3.0,100,10
RPT-2026-024,위험 운전,34.96578920993826,127.48246729258774,2026-03-30 14:21:48.000000,Platinum,3.0,0.0,확정,,3.0,100,10
RPT-2026-025,공사 구역,34.968715866912014,127.4788126079945,2026-03-30 13:49:13.000000,Silver,1.5,0.0,신규,,1.5,0,0
RPT-2026-026,공사 구역,34.96959349241304,127.47859421767303,2026-03-30 13:51:21.000000,Bronze,1.2,0.0,신규,,1.2,0,0
RPT-2026-027,재난,34.96798933252632,127.47525470064694,2026-03-30 13:51:33.000000,Silver,1.5,0.0,신규,,1.5,0,0
RPT-2026-028,불법 주차,34.96589942579198,127.4761079415499,2026-03-30 14:06:24.000000,Silver,1.5,0.7918447056101652,확정,,0.0,100,10
RPT-2026-029,시설물 파손,34.96638065179951,127.48349689314593,2026-03-30 13:42:35.000000,Silver,1.5,0.0,신규,,1.5,0,0
RPT-2026-030,불법 주차,34.969916364708794,127.4753079541033,2026-03-30 14:18:57.000000,Bronze,1.2,0.7800397097719782,확정,,0.0,100,10
RPT-2026-031,재난,34.967030929550084,127.481053773503,2026-03-30 14:38:46.000000,Platinum,3.0,0.0,확정,,3.0,100,10
RPT-2026-032,불법 주차,34.96516434510459,127.47673216491717,2026-03-30 14:30:37.000000,Iron,1.0,0.9180443677389224,확정,,0.0,100,10
RPT-2026-033,재난,34.96542427585661,127.47910040238064,2026-03-30 14:03:09.000000,Bronze,1.2,0.0,신규,,1.2,0,0
RPT-2026-034,재난,34.96918648232029,127.47729049093768,2026-03-30 14:40:47.000000,Bronze,1.2,0.0,신규,,1.2,0,0
RPT-2026-035,시설물 파손,34.96666689090077,127.47718093419736,2026-03-30 14:30:23.000000,Bronze,1.2,0.0,신규,,1.2,0,0
RPT-2026-036,재난,34.96862951659317,127.47997195130696,2026-03-30 14:05:50.000000,Gold,2.0,0.0,신규,,2.0,0,0
RPT-2026-037,교내 위험물,34.9660463500055,127.47547726845238,2026-03-30 14:07:06.000000,Iron,1.0,0.0,신규,,1.0,0,0
RPT-2026-038,불법 주차,34.96802960810876,127.4784772020673,2026-03-30 14:35:18.000000,Platinum,3.0,0.8545628962941432,확정,,0.0,100,10
RPT-2026-039,위험 운전,34.969125825096434,127.47689389622862,2026-03-30 13:46:55.000000,Gold,2.0,0.0,신규,,2.0,0,0
RPT-2026-040,위험 운전,34.967905152514284,127.47661915774005,2026-03-30 14:08:00.000000,Gold,2.0,0.0,신규,,2.0,0,0
RPT-2026-041,불법 주차,34.96644743959267,127.47909647185033,2026-03-30 13:43:40.000000,Platinum,3.0,0.9052144532394346,확정,,0.0,100,10
RPT-2026-042,교내 위험물,34.96862340121316,127.48301888950915,2026-03-30 14:16:19.000000,Bronze,1.2,0.0,신규,,1.2,0,0
RPT-2026-043,공사 구역,34.9659098657566,127.48123621152102,2026-03-30 14:12:13.000000,Platinum,3.0,0.0,확정,,3.0,100,10
RPT-2026-044,공사 구역,34.96779517289127,127.48381793876632,2026-03-30 13:42:37.000000,Silver,1.5,0.0,신규,,1.5,0,0
RPT-2026-045,교내 위험물,34.96689200802944,127.47520371477766,2026-03-30 14:14:18.000000,Silver,1.5,0.0,신규,,1.5,0,0
RPT-2026-046,시설물 파손,34.96923892786291,127.4812007702379,2026-03-30 14:03:13.000000,Gold,2.0,0.0,신규,,2.0,0,0
RPT-2026-047,재난,34.968202359306304,127.48349663981142,2026-03-30 13:49:23.000000,Platinum,3.0,0.0,확정,,3.0,100,10
RPT-2026-048,재난,34.96985395001846,127.47871708067149,2026-03-30 14:34:33.000000,Bronze,1.2,0.0,신규,,1.2,0,0
RPT-2026-049,교내 위험물,34.9695627461764,127.48408991826848,2026-03-30 13:46:10.000000,Silver,1.5,0.0,신규,,1.5,0,0
RPT-2026-050,재난,34.96871200730765,127.4756302937906,2026-03-30 14:27:17.000000,Platinum,3.0,0.0,확정,,3.0,100,10
RPT-2026-051,재난,34.967479623848774,127.476368873078,2026-03-30 13:56:47.000000,Gold,2.0,0.0,신규,,2.0,0,0
RPT-2026-052,재난,34.965069867821335,127.47697723229768,2026-03-30 14:23:33.000000,Silver,1.5,0.0,신규,,1.5,0,0
RPT-2026-053,위험 운전,34.96991394870268,127.48105752351812,2026-03-30 14:35:36.000000,Silver,1.5,0.0,신규,,1.5,0,0
RPT-2026-054,불법 주차,34.96738451750751,127.47584636686344,2026-03-30 14:12:20.000000,Bronze,1.2,0.7967408914040228,확정,,0.0,100,10
RPT-2026-055,공사 구역,34.9699025782475,127.47625953798575,2026-03-30 13:43:59.000000,Gold,2.0,0.0,신규,,2.0,0,0
RPT-2026-056,위험 운전,34.96884380575862,127.47923502105944,2026-03-30 13:45:08.000000,Silver,1.5,0.0,신규,,1.5,0,0
RPT-2026-057,공사 구역,34.965365947666385,127.4771460547209,2026-03-30 14:16:23.000000,Iron,1.0,0.0,신규,,1.0,0,0
RPT-2026-058,불법 주차,34.967389440476374,127.47603623103006,2026-03-30 14:02:08.000000,Platinum,3.0,0.9470418982934208,확정,,0.0,100,10
RPT-2026-059,불법 주차,34.96720502082732,127.47830163692932,2026-03-30 14:31:00.000000,Platinum,3.0,0.7433525529648891,확정,,0.0,100,10
RPT-2026-060,재난,34.96597319366786,127.4842033896912,2026-03-30 13:50:07.000000,Iron,1.0,0.0,신규,,1.0,0,0
RPT-2026-061,불법 주차,34.9665488096482,127.47752991012725,2026-03-30 14:40:54.000000,Bronze,1.2,0.5503445373882013,확정,,0.0,100,10
RPT-2026-062,재난,34.966936092336425,127.4849933584532,2026-03-30 14:23:43.000000,Silver,1.5,0.0,신규,,1.5,0,0
RPT-2026-063,공사 구역,34.96916262454802,127.48431515446138,2026-03-30 14:03:49.000000,Iron,1.0,0.0,신규,,1.0,0,0
RPT-2026-064,재난,34.96847673470883,127.48359642161078,2026-03-30 13:44:40.000000,Iron,1.0,0.0,신규,,1.0,0,0
RPT-2026-065,교내 위험물,34.96711415144471,127.47733407785891,2026-03-30 13:46:57.000000,Platinum,3.0,0.0,확정,,3.0,100,10
RPT-2026-066,공사 구역,34.96547189498856,127.48079588098224,2026-03-30 14:00:48.000000,Platinum,3.0,0.0,확정,,3.0,100,10
RPT-2026-067,공사 구역,34.967452593394434,127.47514311019174,2026-03-30 14:22:10.000000,Platinum,3.0,0.0,확정,,3.0,100,10
RPT-2026-068,공사 구역,34.96654066051734,127.48088777399536,2026-03-30 13:52:28.000000,Platinum,3.0,0.0,확정,,4.0,100,10
RPT-2026-069,불법 주차,34.96840735353566,127.48249401100996,2026-03-30 14:02:32.000000,Iron,1.0,0.5885435961096045,확정,,0.0,100,10
RPT-2026-070,교내 위험물,34.9652031031491,127.47690258390936,2026-03-30 14:08:03.000000,Gold,2.0,0.0,신규,,2.0,0,0
RPT-2026-071,공사 구역,34.966435805604455,127.48310514392948,2026-03-30 14:09:25.000000,Gold,2.0,0.0,신규,,2.0,0,0
RPT-2026-072,교내 위험물,34.966997683223745,127.47716539162283,2026-03-30 13:43:01.000000,Bronze,1.2,0.0,신규,,1.2,0,0
RPT-2026-073,시설물 파손,34.96516354552261,127.48294476561486,2026-03-30 14:09:00.000000,Silver,1.5,0.0,신규,,1.5,0,0
RPT-2026-074,시설물 파손,34.96800588111357,127.48129475668505,2026-03-30 13:41:40.000000,Gold,2.0,0.0,신규,,2.0,0,0
RPT-2026-075,시설물 파손,34.965681378348805,127.4787066395728,2026-03-30 13:48:43.000000,Silver,1.5,0.0,신규,,1.5,0,0
RPT-2026-076,불법 주차,34.9690524060293,127.48072995719912,2026-03-30 13:58:01.000000,Iron,1.0,0.7319151324123973,확정,,0.0,100,10
RPT-2026-077,공사 구역,34.96712540311623,127.4824156873188,2026-03-30 14:17:46.000000,Gold,2.0,0.0,신규,,2.0,0,0
RPT-2026-078,재난,34.969396272283824,127.48254369660462,2026-03-30 14:01:31.000000,Bronze,1.2,0.0,신규,,1.2,0,0
RPT-2026-079,불법 주차,34.96899192334474,127.48481796111238,2026-03-30 14:30:02.000000,Gold,2.0,0.6681223170973228,확정,,0.0,100,10
RPT-2026-080,위험 운전,34.968970791042906,127.48482360737412,2026-03-30 14:20:03.000000,Gold,2.0,0.0,신규,,2.0,0,0
RPT-2026-081,교내 위험물,34.96951059486526,127.47528898240128,2026-03-30 14:16:41.000000,Silver,1.5,0.0,신규,,1.5,0,0
RPT-2026-082,불법 주차,34.96631186976577,127.48380474603636,2026-03-30 14:35:31.000000,Bronze,1.2,0.7837717713803436,확정,,0.0,100,10
RPT-2026-083,공사 구역,34.96949529140045,127.47827007013504,2026-03-30 14:07:35.000000,Silver,1.5,0.0,신규,,1.5,0,0
RPT-2026-084,공사 구역,34.96679870006817,127.47589899718274,2026-03-30 13:51:29.000000,Platinum,3.0,0.0,확정,,3.0,100,10
RPT-2026-085,재난,34.96597074102155,127.4765899514336,2026-03-30 13:51:22.000000,Iron,1.0,0.0,신규,,1.0,0,0
RPT-2026-086,위험 운전,34.96711929020206,127.47710236853833,2026-03-30 13:45:31.000000,Bronze,1.2,0.0,신규,,1.2,0,0
RPT-2026-087,교내 위험물,34.96597488280431,127.47513046270171,2026-03-30 14:07:56.000000,Platinum,3.0,0.0,확정,,3.0,100,10
RPT-2026-088,시설물 파손,34.96842412608914,127.47608393407258,2026-03-30 13:48:51.000000,Platinum,3.0,0.0,확정,,3.0,100,10
RPT-2026-089,위험 운전,34.96620125325968,127.48378378472316,2026-03-30 14:34:08.000000,Iron,1.0,0.0,신규,,1.0,0,0
RPT-2026-090,교내 위험물,34.96764694933821,127.4835925294086,2026-03-30 14:40:11.000000,Bronze,1.2,0.0,신규,,1.2,0,0
RPT-2026-091,재난,34.9664118156627,127.48253058627728,2026-03-30 14:05:06.000000,Iron,1.0,0.0,신규,,1.0,0,0
RPT-2026-092,공사 구역,34.968517187981,127.47867942727164,2026-03-30 14:34:02.000000,Gold,2.0,0.0,신규,,2.0,0,0
RPT-2026-093,교내 위험물,34.96858369952375,127.48073166971382,2026-03-30 13:59:45.000000,Gold,2.0,0.0,신규,,2.0,0,0
RPT-2026-094,교내 위험물,34.96836598859063,127.48081899573148,2026-03-30 14:02:38.000000,Iron,1.0,0.0,신규,,1.0,0,0
RPT-2026-095,공사 구역,34.96578517920687,127.48256448120928,2026-03-30 14:18:36.000000,Silver,1.5,0.0,신규,,1.5,0,0
RPT-2026-096,불법 주차,34.968769306264925,127.48053927395712,2026-03-30 14:03:51.000000,Bronze,1.2,0.8817969577067407,확정,,0.0,100,10
RPT-2026-097,위험 운전,34.965863894624285,127.47979446370827,2026-03-30 14:15:49.000000,Bronze,1.2,0.0,신규,,1.2,0,0
RPT-2026-098,위험 운전,34.968981384945124,127.47800110281732,2026-03-30 14:08:43.000000,Platinum,3.0,0.0,확정,,3.0,100,10
RPT-2026-099,시설물 파손,34.96804523905209,127.48293517068622,2026-03-30 14:35:38.000000,Bronze,1.2,0.0,신규,,1.2,0,0
SCN-A-0,시설물 파손,34.968,127.48,2026-03-30 14:41:08.821677,Platinum,3.0,0.0,확정,,9.0,100,10
SCN-A-1,시설물 파손,34.968,127.48,2026-03-30 14:36:08.821677,Platinum,3.0,0.0,확정,,9.0,100,10
SCN-A-2,시설물 파손,34.968,127.48,2026-03-30 14:31:08.821677,Platinum,3.0,0.0,확정,,9.0,100,10
SCN-B-SINGLE,불법 주차,34.969,127.481,2026-03-30 14:41:08.821677,Iron,1.0,0.9137480583798117,확정,193보2803,0.0,100,10
=======
﻿report_id,category,latitude,longitude,timestamp,user_grade,user_weight,ai_confidence,status,extracted_text,final_trust_score,earned_points,earned_contribution
RPT-2026-000,불법 주차,34.96999835558781,127.4805597975757,2026-03-30 13:45:20.000000,Bronze,1.2,0.8839693314500632,확정,,0.0,100,10
RPT-2026-001,시설물 파손,34.96861922614842,127.48095890605389,2026-03-30 14:13:43.000000,Iron,1.0,0.0,신규,,1.0,0,0
RPT-2026-002,위험 운전,34.96834956563494,127.48256916978146,2026-03-30 14:23:00.000000,Iron,1.0,0.0,신규,,1.0,0,0
RPT-2026-003,시설물 파손,34.96908918684503,127.48231801138655,2026-03-30 14:00:42.000000,Gold,2.0,0.0,신규,,2.0,0,0
RPT-2026-004,위험 운전,34.96582415443754,127.47828964371814,2026-03-30 14:04:46.000000,Gold,2.0,0.0,신규,,2.0,0,0
RPT-2026-005,재난,34.96889023289254,127.47569048661218,2026-03-30 14:05:12.000000,Gold,2.0,0.0,신규,,2.0,0,0
RPT-2026-006,교내 위험물,34.96810843712367,127.47731510756697,2026-03-30 14:16:01.000000,Gold,2.0,0.0,신규,,2.0,0,0
RPT-2026-007,불법 주차,34.968131665795134,127.4751781142184,2026-03-30 14:29:10.000000,Platinum,3.0,0.8502473518720359,확정,,0.0,100,10
RPT-2026-008,교내 위험물,34.96993543878196,127.4752494404602,2026-03-30 14:13:56.000000,Iron,1.0,0.0,신규,,1.0,0,0
RPT-2026-009,공사 구역,34.96545688920806,127.475660918285,2026-03-30 13:43:20.000000,Iron,1.0,0.0,신규,,1.0,0,0
RPT-2026-010,교내 위험물,34.96902002659969,127.483810069096,2026-03-30 14:02:31.000000,Iron,1.0,0.0,신규,,1.0,0,0
RPT-2026-011,재난,34.96584382253844,127.48052259053452,2026-03-30 13:47:28.000000,Iron,1.0,0.0,신규,,1.0,0,0
RPT-2026-012,공사 구역,34.96600859855728,127.47722927752412,2026-03-30 14:07:08.000000,Iron,1.0,0.0,신규,,1.0,0,0
RPT-2026-013,공사 구역,34.9661854706075,127.4849869070114,2026-03-30 14:05:14.000000,Silver,1.5,0.0,신규,,1.5,0,0
RPT-2026-014,위험 운전,34.96645562990276,127.48020967812208,2026-03-30 14:05:20.000000,Silver,1.5,0.0,신규,,1.5,0,0
RPT-2026-015,재난,34.9682484558448,127.48032220428767,2026-03-30 13:52:59.000000,Platinum,3.0,0.0,확정,,3.0,100,10
RPT-2026-016,공사 구역,34.96942906235707,127.48468535469746,2026-03-30 14:31:54.000000,Silver,1.5,0.0,신규,,1.5,0,0
RPT-2026-017,공사 구역,34.96649661364986,127.48087559414586,2026-03-30 13:42:14.000000,Iron,1.0,0.0,확정,,4.0,100,10
RPT-2026-018,시설물 파손,34.969292744849135,127.47634254614977,2026-03-30 13:48:57.000000,Bronze,1.2,0.0,신규,,1.2,0,0
RPT-2026-019,재난,34.96798639543281,127.47581784739,2026-03-30 13:47:45.000000,Bronze,1.2,0.0,신규,,1.2,0,0
RPT-2026-020,재난,34.96570883250726,127.48456731856712,2026-03-30 14:00:08.000000,Platinum,3.0,0.0,확정,,3.0,100,10
RPT-2026-021,교내 위험물,34.96531757228544,127.47866975887403,2026-03-30 14:36:22.000000,Silver,1.5,0.0,신규,,1.5,0,0
RPT-2026-022,불법 주차,34.96962523807254,127.4782906708496,2026-03-30 14:30:40.000000,Bronze,1.2,0.8070771155443535,확정,,0.0,100,10
RPT-2026-023,교내 위험물,34.96585806405675,127.47582136791976,2026-03-30 13:56:40.000000,Platinum,3.0,0.0,확정,,3.0,100,10
RPT-2026-024,위험 운전,34.96578920993826,127.48246729258774,2026-03-30 14:21:48.000000,Platinum,3.0,0.0,확정,,3.0,100,10
RPT-2026-025,공사 구역,34.968715866912014,127.4788126079945,2026-03-30 13:49:13.000000,Silver,1.5,0.0,신규,,1.5,0,0
RPT-2026-026,공사 구역,34.96959349241304,127.47859421767303,2026-03-30 13:51:21.000000,Bronze,1.2,0.0,신규,,1.2,0,0
RPT-2026-027,재난,34.96798933252632,127.47525470064694,2026-03-30 13:51:33.000000,Silver,1.5,0.0,신규,,1.5,0,0
RPT-2026-028,불법 주차,34.96589942579198,127.4761079415499,2026-03-30 14:06:24.000000,Silver,1.5,0.7918447056101652,확정,,0.0,100,10
RPT-2026-029,시설물 파손,34.96638065179951,127.48349689314593,2026-03-30 13:42:35.000000,Silver,1.5,0.0,신규,,1.5,0,0
RPT-2026-030,불법 주차,34.969916364708794,127.4753079541033,2026-03-30 14:18:57.000000,Bronze,1.2,0.7800397097719782,확정,,0.0,100,10
RPT-2026-031,재난,34.967030929550084,127.481053773503,2026-03-30 14:38:46.000000,Platinum,3.0,0.0,확정,,3.0,100,10
RPT-2026-032,불법 주차,34.96516434510459,127.47673216491717,2026-03-30 14:30:37.000000,Iron,1.0,0.9180443677389224,확정,,0.0,100,10
RPT-2026-033,재난,34.96542427585661,127.47910040238064,2026-03-30 14:03:09.000000,Bronze,1.2,0.0,신규,,1.2,0,0
RPT-2026-034,재난,34.96918648232029,127.47729049093768,2026-03-30 14:40:47.000000,Bronze,1.2,0.0,신규,,1.2,0,0
RPT-2026-035,시설물 파손,34.96666689090077,127.47718093419736,2026-03-30 14:30:23.000000,Bronze,1.2,0.0,신규,,1.2,0,0
RPT-2026-036,재난,34.96862951659317,127.47997195130696,2026-03-30 14:05:50.000000,Gold,2.0,0.0,신규,,2.0,0,0
RPT-2026-037,교내 위험물,34.9660463500055,127.47547726845238,2026-03-30 14:07:06.000000,Iron,1.0,0.0,신규,,1.0,0,0
RPT-2026-038,불법 주차,34.96802960810876,127.4784772020673,2026-03-30 14:35:18.000000,Platinum,3.0,0.8545628962941432,확정,,0.0,100,10
RPT-2026-039,위험 운전,34.969125825096434,127.47689389622862,2026-03-30 13:46:55.000000,Gold,2.0,0.0,신규,,2.0,0,0
RPT-2026-040,위험 운전,34.967905152514284,127.47661915774005,2026-03-30 14:08:00.000000,Gold,2.0,0.0,신규,,2.0,0,0
RPT-2026-041,불법 주차,34.96644743959267,127.47909647185033,2026-03-30 13:43:40.000000,Platinum,3.0,0.9052144532394346,확정,,0.0,100,10
RPT-2026-042,교내 위험물,34.96862340121316,127.48301888950915,2026-03-30 14:16:19.000000,Bronze,1.2,0.0,신규,,1.2,0,0
RPT-2026-043,공사 구역,34.9659098657566,127.48123621152102,2026-03-30 14:12:13.000000,Platinum,3.0,0.0,확정,,3.0,100,10
RPT-2026-044,공사 구역,34.96779517289127,127.48381793876632,2026-03-30 13:42:37.000000,Silver,1.5,0.0,신규,,1.5,0,0
RPT-2026-045,교내 위험물,34.96689200802944,127.47520371477766,2026-03-30 14:14:18.000000,Silver,1.5,0.0,신규,,1.5,0,0
RPT-2026-046,시설물 파손,34.96923892786291,127.4812007702379,2026-03-30 14:03:13.000000,Gold,2.0,0.0,신규,,2.0,0,0
RPT-2026-047,재난,34.968202359306304,127.48349663981142,2026-03-30 13:49:23.000000,Platinum,3.0,0.0,확정,,3.0,100,10
RPT-2026-048,재난,34.96985395001846,127.47871708067149,2026-03-30 14:34:33.000000,Bronze,1.2,0.0,신규,,1.2,0,0
RPT-2026-049,교내 위험물,34.9695627461764,127.48408991826848,2026-03-30 13:46:10.000000,Silver,1.5,0.0,신규,,1.5,0,0
RPT-2026-050,재난,34.96871200730765,127.4756302937906,2026-03-30 14:27:17.000000,Platinum,3.0,0.0,확정,,3.0,100,10
RPT-2026-051,재난,34.967479623848774,127.476368873078,2026-03-30 13:56:47.000000,Gold,2.0,0.0,신규,,2.0,0,0
RPT-2026-052,재난,34.965069867821335,127.47697723229768,2026-03-30 14:23:33.000000,Silver,1.5,0.0,신규,,1.5,0,0
RPT-2026-053,위험 운전,34.96991394870268,127.48105752351812,2026-03-30 14:35:36.000000,Silver,1.5,0.0,신규,,1.5,0,0
RPT-2026-054,불법 주차,34.96738451750751,127.47584636686344,2026-03-30 14:12:20.000000,Bronze,1.2,0.7967408914040228,확정,,0.0,100,10
RPT-2026-055,공사 구역,34.9699025782475,127.47625953798575,2026-03-30 13:43:59.000000,Gold,2.0,0.0,신규,,2.0,0,0
RPT-2026-056,위험 운전,34.96884380575862,127.47923502105944,2026-03-30 13:45:08.000000,Silver,1.5,0.0,신규,,1.5,0,0
RPT-2026-057,공사 구역,34.965365947666385,127.4771460547209,2026-03-30 14:16:23.000000,Iron,1.0,0.0,신규,,1.0,0,0
